Night at the Museum: Battle of the Smithsonian,1994,Hasty Reddyhoff,0.93,Action|Comedy|IMAX
Last Legion. The,2012,Early Purselow,7.44,Action|Adventure|Fantasy|War
Look of Love. The,2008,Urbano Dallimare,9.36,Comedy|Drama
Quatermass 2 (Enemy from Space),2004,Mollee Churchley,2.6,Sci-Fi|Thriller
Due Date,2006,Aubrie Cornels,2.63,Comedy
Mr. Deeds,2000,Olga Blain,3.71,Comedy|Romance
Me. Myself & Irene,2004,Darice Coney,1.54,Adventure|Comedy
Bitter Sugar (Azúcar amarga),2004,Sandie Handscombe,6.24,Drama
Saint. The,2011,La verne Wayt,5.86,Action|Romance|Sci-Fi|Thriller
Village People Radio Show (Apa khabar orang kampung),1999,Alida MacAlinden,9.7,Documentary
Hairdresser's Husband. The (Le mari de la coiffeuse),1993,Corny Rubenchik,3.96,Comedy|Drama|Romance
11-11-11 (11-11-11: The Prophecy),2003,Ban McGavigan,1.48,Horror|Thriller
Back to School with Franklin,1990,Cathee Marvel,7.79,Animation|Children
Rat Pfink a Boo Boo,2000,Carma Di Matteo,0.07,Action|Comedy
Blood on Satan's Claw (a.k.a. Satan's Skin),2011,Glynis Cleere,5.02,Horror|Thriller
Very Social Secretary. A,2000,Lora Sarvar,5.67,Comedy|Drama
Vampire Lovers. The,2003,Jean Strognell,5.69,Horror
Andromeda Strain. The,2012,Camile Clingan,8.09,Sci-Fi
City of No Limits. The (la ciudad sin límites. En),2002,Shelia Hayen,7.35,Drama|Thriller
Spiders. Part 2: The Diamond Ship. The (Die Spinnen. 2. Teil - Das Brillantenschiff),1992,Bordie Fulbrook,7.84,Action|Adventure|Drama
Skylab. Le,1996,Bartholomew Alvar,4.71,Comedy|Drama
Blood Done Sign My Name,2006,Giuseppe Branigan,7.02,Drama
Breaks. The,1996,Micah Blackleech,2.32,Comedy
Slingshot Hip Hop,2008,Courtnay Gilffillan,5.12,(no genres listed)
Mischief Night,1994,Odell Stanway,5.1,Drama|Horror|Thriller
Passion Fish,2008,Valery Scoggin,0.79,Drama
Red Beard (Akahige),1993,Eran Lackeye,6.85,Drama
My Best Friend's Wedding,2003,Marylou Benthall,0.89,Comedy|Romance
Charlie Bartlett,1992,Gerardo De Ambrosi,7.56,Comedy|Drama
Snake Woman's Curse,2001,Rodrique Hubbins,7.38,Horror
Mighty Heart. A,2005,Erick Tidmas,0.56,Drama|Thriller
